Sample,Measurement,Plate/Print,h,h0,H,P
PLA/F,1,Plate,0.23,0.08,100.76,358
PLA/F,2,Plate,0.21,0.08,112.61,358
PLA/F,3,Plate,0.24,0.11,95.72,358
PLA/F,4,Plate,0.22,0.05,106.36,358
PLA/F,5,Plate,0.23,0.06,100.76,358
PLA/F,6,Plate,0.23,0.08,100.76,358
PLA/F,7,Plate,0.23,0.105,100.76,358
PLA/F,8,Plate,0.21,0.07,112.61,358
PLA/F,9,Plate,0.195,0.055,123.51,358
PLA/F,10,Plate,0.2,0.06,119.65,358
PLA/F,11,Plate,0.2,0.065,119.65,358
PLA/F,12,Plate,0.205,0.06,116.03,358
PLA/F,1,Print,0.24,0.12,95.72,358
PLA/F,2,Print,0.25,0.15,91.16,358
PLA/F,3,Print,0.25,0.14,91.16,358
PLA/F,4,Print,0.21,0.09,112.61,358
PLA/F,5,Print,0.21,0.09,112.61,358
PLA/F,6,Print,0.22,0.11,106.36,358
PLA/F,7,Print,0.235,0.135,98.18,358
PLA/F,8,Print,0.215,0.11,109.4,358
PLA/F,9,Print,0.2,0.1,119.65,358
PLA/F,10,Print,0.23,0.135,100.76,358
PLA/F,11,Print,0.22,0.12,106.36,358
PET-G/F,1,Plate,0.29,0.12,76.58,358
PET-G/F,2,Plate,0.30,0.13,74.63,358
PET-G/F,3,Plate,0.35,0.15,61.76,358
PET-G/F,4,Plate,0.35,0.17,61.76,358
PET-G/F,5,Plate,0.31,0.14,70.91,358
PET-G/F,6,Plate,0.34,0.17,63.18,358
PET-G/F,7,Plate,0.295,0.115,75.08,358
PET-G/F,8,Plate,0.29,0.09,76.58,358
PET-G/F,9,Plate,0.32,0.11,68.37,358
PET-G/F,10,Plate,0.32,0.145,68.37,358
PET-G/F,11,Plate,0.305,0.135,72.24,358
PET-G/F,12,Plate,0.3,0.14,73.63,358
PET-G/F,1,Print,0.32,0.17,68.37,358
PET-G/F,2,Print,0.27,0.10,83.24,358
PET-G/F,3,Print,0.29,0.14,76.48,358
PET-G/F,4,Print,0.275,0.13,81.47,358
PET-G/F,5,Print,0.26,0.12,87.02,358
PET-G/F,6,Print,0.29,0.14,76.58,358
PET-G/F,7,Print,0.255,0.135,89.04,358
PET-G/F,8,Print,0.24,0.115,95.72,358
PET-G/F,9,Print,0.24,0.11,95.72,358
PET-G/F,10,Print,0.26,0.125,87.02,358
PET-G/F,11,Print,0.26,0.13,87.02,358
PET-G/F,12,Print,0.265,0.135,85.09,358
PLA/R,1,Plate,0.15,0.06,64.17,132
PLA/R,2,Plate,0.18,0.09,50.42,132
PLA/R,3,Plate,0.21,0.12,41.52,132
PLA/R,4,Plate,0.21,0.09,41.52,132
PLA/R,5,Plate,0.165,0.08,56.47,132
PLA/R,6,Plate,0.17,0.08,54.3,132
PLA/R,7,Plate,0.17,0.085,54.03,132
PLA/R,8,Plate,0.2,0.1,44.12,132
PLA/R,9,Plate,0.205,0.08,42.78,132
PLA/R,10,Plate,0.19,0.065,47.06,132
PLA/R,2,Print,0.20,0.15,44.12,132
PLA/R,3,Print,0.18,0.13,50.42,132
PLA/R,4,Print,0.25,0.19,33.61,132
PLA/R,5,Print,0.225,0.16,38.16,132
PLA/R,6,Print,0.19,0.135,47.06,132
PLA/R,7,Print,0.19,0.145,47.06,132
PLA/R,9,Print,0.22,0.17,40.34,132
PLA/R,10,Print,0.19,0.13,47.06,132
PLA/R,11,Print,0.21,0.155,41.52,132
PET-G/R,1,Plate,0.33,0.14,66.02,358
PET-G/R,2,Plate,0.34,0.12,63.18,358
PET-G/R,3,Plate,0.34,0.15,63.18,358
PET-G/R,4,Plate,0.35,0.18,61.76,358
PET-G/R,5,Plate,0.33,0.14,66.02,358
PET-G/R,6,Plate,0.31,0.12,70.91,358
PET-G/R,7,Plate,0.31,0.11,70.91,358
PET-G/R,8,Plate,0.33,0.14,66.02,358
PET-G/R,9,Plate,0.33,0.125,66.02,358
PET-G/R,10,Plate,0.325,0.115,67.17,358
PET-G/R,1,Print,0.25,0.11,91.16,358
PET-G/R,2,Print,0.23,0.09,100.76,358
PET-G/R,3,Print,0.23,0.09,100.76,358
PET-G/R,4,Print,0.23,0.09,100.76,358
PET-G/R,5,Print,0.25,0.12,91.16,358
PET-G/R,6,Print,0.25,0.11,91.16,358
PET-G/R,7,Print,0.26,0.12,87.02,358
PET-G/R,8,Print,0.23,0.09,100.76,358
PET-G/R,9,Print,0.26,0.12,87.02,358
PET-G/R,10,Print,0.26,0.12,87.02,358
PET-G/R,11,Print,0.265,0.125,85.09,358
