Sample,Measurement,Plate/Print,Value
PLA/F,1,Plate,81
PLA/F,2,Plate,81.2
PLA/F,3,Plate,79.9
PLA/F,4,Plate,83.5
PLA/F,5,Plate,83
PLA/F,6,Plate,82.5
PLA/F,1,Print,79.9
PLA/F,2,Print,83.1
PLA/F,3,Print,83.7
PLA/F,4,Print,79
PLA/F,5,Print,78.3
PLA/F,6,Print,80.6
PET-G/F,1,Plate,75.9
PET-G/F,2,Plate,77.3
PET-G/F,3,Plate,79
PET-G/F,4,Plate,83.5
PET-G/F,5,Plate,83
PET-G/F,6,Plate,82.5
PET-G/F,1,Print,70.8
PET-G/F,2,Print,76.9
PET-G/F,3,Print,74.5
PET-G/F,4,Print,74.8
PET-G/F,5,Print,75.5
PET-G/F,6,Print,73
PLA/R,1,Plate,77.5
PLA/R,2,Plate,79
PLA/R,3,Plate,79.8
PLA/R,4,Plate,75.4
PLA/R,5,Plate,76
PLA/R,6,Plate,74.6
PLA/R,1,Print,73.8
PLA/R,2,Print,66.9
PLA/R,3,Print,69.3
PLA/R,4,Print,61
PLA/R,5,Print,64.1
PLA/R,6,Print,62.8
PET-G/R,1,Plate,77.8
PET-G/R,2,Plate,76.2
PET-G/R,3,Plate,75.6
PET-G/R,4,Plate,77.4
PET-G/R,5,Plate,76.5
PET-G/R,6,Plate,78.7
PET-G/R,1,Print,72.5
PET-G/R,2,Print,70.3
PET-G/R,3,Print,70.3
PET-G/R,4,Print,70.7
PET-G/R,5,Print,72.3
PET-G/R,6,Print,71

